date,category,sub-category,article,branch
03/11/2014,media,game,Crytek,Shared Services Canada
03/11/2014,media,game,Ryse: Son of Rome,Shared Services Canada
03/11/2014,politics,politician,Céline Hervieux-Payette,Canadian House of Commons
03/11/2014,politics,politician,Céline Hervieux-Payette,Canadian House of Commons
03/11/2014,politics,politician,Céline Hervieux-Payette,Canadian House of Commons
03/11/2014,politics,politician,Céline Hervieux-Payette,Canadian House of Commons
04/11/2014,science,scientist,Ivan Stojmenović,Shared Services Canada
04/11/2014,template,template,Modèle:AccueilArticleDeLaSemaine/30 2006,Environment Canada
04/11/2014,portal,portal,Portail:Suisse/Tableau principal/Lumière sur/1 2012,Environment Canada
04/11/2014,portal,portal,Portail:Géographie/Nouvelles,Environment Canada
04/11/2014,portal,portal,Portail:Météorologie/4,Environment Canada
04/11/2014,portal,portal,Portail:Météorologie/7,Environment Canada
04/11/2014,portal,portal,Portail:Géodésie et géophysique/Articles,Environment Canada
04/11/2014,portal,portal,Portail:Géographie de la Suisse/Lumière sur.../1,Environment Canada
04/11/2014,portal,portal,Portail:Suisse/Tableau principal/Lumière sur/51 2009,Environment Canada
04/11/2014,portal,portal,Portail:Ville de Québec/Lumière sur/Archives,Environment Canada
04/11/2014,portal,portal,Portail:Information géographique/Lumière et actualités,Environment Canada
04/11/2014,portal,portal,Portail:Suisse/Tableau principal/Lumière sur/51 2010,Environment Canada
04/11/2014,portal,portal,Portail:Suisse/Tableau principal/Lumière sur/1 2013,Environment Canada
04/11/2014,portal,portal,Portail:Suisse/Tableau principal/Lumière sur/1 2014,Environment Canada
04/11/2014,portal,portal,Portail:Eau/Index thématique,Environment Canada
04/11/2014,portal,portal,Portail:Géographie/Principal,Environment Canada
04/11/2014,user,user,Utilisateur:The Shadow Knows/Travaux en cours/Œil (Cyclo,Environment Canada
04/11/2014,wikipedia,wikipedia,Wikipédia:Lumière sur/Hydrologie de la Suisse,Environment Canada
04/11/2014,project,project,Projet:Géographie/Évaluation/Index/1,Environment Canada
04/11/2014,project,project,Projet:Géographie/Évaluation/Articles sélectionnés,Environment Canada
04/11/2014,project,project,Projet:Wikipédia 1.0/Version 0.5/propositions/janvier 20,Environment Canada
04/11/2014,project,project,Projet:Wikipédia 1.0/Version 0.5/Archive,Environment Canada
04/11/2014,project,project,Projet:Géographie/Pages populaires,Environment Canada
04/11/2014,category,category,Catégorie:Précipitation,Environment Canada
04/11/2014,category,category,Catégorie:Précipitation,Environment Canada
04/11/2014,user,user,Utilisateur:Citronic/Livres/Meteorologie,Environment Canada
04/11/2014,talk,talk,Discussion:Cyclone tropical/Bon article,Environment Canada
04/11/2014,talk,talk,Discussion:Pic Diamond,Environment Canada
04/11/2014,wikipedia,wikipedia,Wikipédia:Oracle/semaine 47 2006,Environment Canada
04/11/2014,wikipedia,wikipedia,Wikipédia:Pages les plus liées/4,Environment Canada
04/11/2014,wikipedia,wikipedia,Wikipédia:Le Bistro/28 avril 2012,Environment Canada
04/11/2014,wikipedia,wikipedia,Wikipédia:Lumière sur/Pluviomètre,Environment Canada
04/11/2014,template,template,Modèle:Infobox Événement météorologique/Documentation,Environment Canada
04/11/2014,project,project,Projet:Wikipédia 1.0/Version 0.5/Mathématiques sciences,Environment Canada
04/11/2014,user,user,Utilisateur:Le3eFrereBrunet/Livres/Météorologie Climat ,Environment Canada
04/11/2014,talk,talk,Discussion utilisateur:Pierre cb/test,Environment Canada
04/11/2014,user,user,Utilisateur:Bopnrgi/testcevenol,Environment Canada
04/11/2014,user,user,Utilisateur:Bogoris/Nuage,Environment Canada
04/11/2014,user,user,Utilisateur:Alainr345/Bac à sable/Nouvelles/Lumière et a,Environment Canada
04/11/2014,user,user,Utilisateur:Psychoslave/prérequis/Exemple2,Environment Canada
04/11/2014,user,user,Utilisateur:Rayman3640/Bloc-notes/Afrique,Environment Canada
04/11/2014,user,user,Utilisateur:Guilhem/Brouillon/Géographie de l'Andalousie,Environment Canada
04/11/2014,user,user,Utilisateur:Adehertogh/bac à sable,Environment Canada
04/11/2014,user,user,Utilisateur:Feldo/Brouillon Portail de l'Afrique,Environment Canada
04/11/2014,user,user,Utilisateur:Tatmouss/Bac à sable,Environment Canada
04/11/2014,user,user,Utilisateur:Triliar/Livres/Meteorologie,Environment Canada
04/11/2014,user,user,Utilisatrice:Zorrosk/Livres/Cagnoscenza,Environment Canada
04/11/2014,user,user,Utilisateur:Peha/Bac à sable3,Environment Canada
04/11/2014,user,user,Utilisateur:Maztaw/Brouillon,Environment Canada
04/11/2014,user,user,Utilisateur:Oussama zrafi/Brouillon,Environment Canada
04/11/2014,user,user,Utilisateur:AntonyB/Per27,Environment Canada
04/11/2014,user,user,Utilisateur:AntonyB/Per27,Environment Canada
04/11/2014,user,user,Utilisateur:AntonyB/Per27,Environment Canada
04/11/2014,user,user,Utilisateur:Sydo78/Brouillon,Environment Canada
04/11/2014,user,user,Utilisateur:Khan Tengri/sandbox,Environment Canada
04/11/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
04/11/2014,media,comedy,News satire,Shared Services Canada
04/11/2014,sports,hockey,Bill Barilko,Canadian Department of National Defence
04/11/2014,science,meteorology,Glossaire de la météorologie,Environment Canada
04/11/2014,science,theory,Crue de projet,Environment Canada
04/11/2014,science,theory,Crue nominale,Environment Canada
04/11/2014,science,theory,Crue type,Environment Canada
05/11/2014,military,military unit,HMCS St. John's (FFH 340),Canadian Department of National Defence
05/11/2014,military,military unit,NCSM St. John's (FFH 340),Canadian Department of National Defence
05/11/2014,sports,hockey,Randy Burridge,Industry Canada
05/11/2014,politics,law,Grande paix de Montréal,Shared Services Canada
05/11/2014,talk,talk,Talk:River Canard Ontario,Department of Fisheries and Oceans
05/11/2014,talk,talk,Talk:River Canard Ontario,Shared Services Canada
05/11/2014,place,ontario canada,River Canard Ontario,Shared Services Canada
05/11/2014,place,ontario canada,River Canard Ontario,Department of Fisheries and Oceans
05/11/2014,politics,law,Huron Tract,Department of Fisheries and Oceans
05/11/2014,politics,law,Huron Tract,Shared Services Canada
05/11/2014,politics,law,Huron Tract,Department of Fisheries and Oceans
05/11/2014,politics,law,Huron Tract,Shared Services Canada
05/11/2014,politics,politician,Minister of Agriculture (Canada),Industry Canada
05/11/2014,politics,politician,Dean Del Mastro,Canadian House of Commons
06/11/2014,media,murderer,Michael Wayne McGray,Shared Services Canada
06/11/2014,military,rank/appointment,Equerry,Canadian Department of National Defence
06/11/2014,company,construction company,SNC-Lavalin,Canadian Broadcasting Corporation
06/11/2014,company,construction company,SNC-Lavalin,Canadian Broadcasting Corporation
06/11/2014,company,construction company,SNC-Lavalin,Canadian Broadcasting Corporation
06/11/2014,place,nova scotia canada,Lake Egmont Nova Scotia,Canadian Department of National Defence
06/11/2014,media,game,Star Citizen,Shared Services Canada
07/11/2014,education,theory,Technoself,Shared Services Canada
07/11/2014,religion,religious sect,Ahmadiyya by country,Canadian Broadcasting Corporation
07/11/2014,science,meteorology,Pileus (meteorology),Environment Canada
09/11/2014,science,theory,Tour convective,Environment Canada
10/11/2014,media,music,Richacha Balengola,Shared Services Canada
10/11/2014,place,ontario canada,Point Pelee National Park,Shared Services Canada
10/11/2014,politics,department,Canada Revenue Agency,Shared Services Canada
10/11/2014,science,organisation,Workplace Hazardous Materials Information System,Shared Services Canada
10/11/2014,science,organisation,Workplace Hazardous Materials Information System,Shared Services Canada
10/11/2014,science,organisation,Workplace Hazardous Materials Information System,Shared Services Canada
10/11/2014,sports,racing,2015 Indy Lights season,Natural Resources Canada
11/11/2014,media,television,Goodbyeee,Canadian Department of National Defence
11/11/2014,talk,talk,Talk:Goodbyeee,Canadian Department of National Defence
12/11/2014,arts,art viewer,Rôle du spectateur dans l'art,Department of Justice Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,politics,politician,David Smith (Canadian senator),Canadian House of Commons
12/11/2014,media,music,Trapped in the Closet,Industry Canada
12/11/2014,arts,sculpture,Maman (sculpture),Shared Services Canada
12/11/2014,science,science object,Polar Satellite Launch Vehicle,Canadian Department of National Defence
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
12/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
13/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
13/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
13/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
13/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,sports,tennis,ATP World Tour Finals 2014,Environment Canada
13/11/2014,politics,organisation,National Office of WHMIS,Shared Services Canada
13/11/2014,politics,organisation,National Office of WHMIS,Shared Services Canada
13/11/2014,military,military unit,Azov Battalion,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,technology,radio,SIRIUS Travel Link,Shared Services Canada
13/11/2014,user,user,User talk:Philg88,Canadian Department of National Defence
13/11/2014,science,theory,Capteur à effet Hall,Canadian Department of National Defence
13/11/2014,media,game,Fallout (series),Canadian Department of National Defence
13/11/2014,military,military unit,HMCS Montcalm,Canadian Department of National Defence
13/11/2014,military,military unit,HMCS Montcalm,Canadian Department of National Defence
13/11/2014,talk,talk,Talk:The Green EP (Bibio EP),Department of Fisheries and Oceans
13/11/2014,talk,talk,Talk:The Green EP (Bibio EP),Shared Services Canada
13/11/2014,media,music,The Green EP (Bibio EP),Department of Fisheries and Oceans
13/11/2014,media,music,The Green EP (Bibio EP),Shared Services Canada
13/11/2014,politics,department,Canadian Wildlife Service,Environment Canada
13/11/2014,poltics,poltical event,Weather records in Windsor Ontario,Shared Services Canada
14/11/2014,military,soldier,Moe Hurwitz,Shared Services Canada
14/11/2014,science,math,Securities research,Industry Canada
14/11/2014,media,television,The Super Globetrotters,Government of Canada
14/11/2014,media,television,The Super Globetrotters,Shared Services Canada
14/11/2014,media,television,The Super Globetrotters,Government of Canada
14/11/2014,media,television,The Super Globetrotters,Shared Services Canada
14/11/2014,media,television,The Super Globetrotters,Government of Canada
14/11/2014,media,television,The Super Globetrotters,Shared Services Canada
14/11/2014,media,television,The Super Globetrotters,Government of Canada
14/11/2014,media,television,The Super Globetrotters,Shared Services Canada
14/11/2014,sports,football,Frank Clair,Shared Services Canada
14/11/2014,media,television,Godzilla (animated series),Government of Canada
14/11/2014,media,television,Godzilla (animated series),Shared Services Canada
14/11/2014,politics,people,Arab Canadians,Shared Services Canada
14/11/2014,politics,royalty,Вальдемар IV Аттердаг,Shared Services Canada
14/11/2014,science,medicine,Grippe,Shared Services Canada
14/11/2014,place,ontario canada,Stittsville Ontario,Natural Resources Canada
14/11/2014,sports,tennis,2014 ATP World Tour Finals – Singles,Shared Services Canada
14/11/2014,sports,tennis,2014 ATP World Tour Finals – Singles,Shared Services Canada
14/11/2014,sports,tennis,2014 ATP World Tour Finals – Singles,Shared Services Canada
14/11/2014,sports,tennis,2014 ATP World Tour Finals – Singles,Shared Services Canada
17/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
17/11/2014,police,police,List of law enforcement agencies in Canada,Shared Services Canada
17/11/2014,media,media,Old Man Winter,Shared Services Canada
17/11/2014,sports,hockey,David Krejčí,Shared Services Canada
17/11/2014,media,language,Lexicon,Shared Services Canada
17/11/2014,politics,politician,Gord Brown,Canadian House of Commons
17/11/2014,politics,politician,Gord Brown,Canadian House of Commons
17/11/2014,politics,politician,Gord Brown,Canadian House of Commons
17/11/2014,sports,football,John Sullivan (Canadian football),Canadian House of Commons
17/11/2014,military,military unit,3rd Canadian Division,Canadian Department of National Defence
18/11/2014,sports,tennis,ATP World Tour records,Canadian Department of National Defence
18/11/2014,sports,tennis,ATP World Tour records,Canadian Department of National Defence
18/11/2014,military,military unit,3rd Canadian Division,Canadian Department of National Defence
18/11/2014,military,military equipment,Centurion (char),Canadian Department of National Defence
18/11/2014,sports,wrestling,Charlotte (wrestler),Shared Services Canada
18/11/2014,sports,soccer,Torcida Split,Shared Services Canada
18/11/2014,file,file,File:Richacha on drums.jpg,Shared Services Canada
18/11/2014,science,theory,Air pollution,Environment Canada
18/11/2014,military,soldier,Thomas J. Lawson,Department of Justice Canada
18/11/2014,military,soldier,Thomas J. Lawson,Department of Justice Canada
18/11/2014,science,scientist,Milton Friedman,Shared Services Canada
19/11/2014,military,military unit,Cadet Instructors Cadre,Canadian Department of National Defence
19/11/2014,military,military unit,Cadet Instructors Cadre,Canadian Department of National Defence
19/11/2014,science,theory,Salmonella bongori,Shared Services Canada
19/11/2014,template,template,Template:Winnipeg Jets roster,Environment Canada
20/11/2014,military,military place,Defence Research and Development Ca,Canadian Department of National Defence
20/11/2014,media,singer,David Ruffin,Canadian Broadcasting Corporation
20/11/2014,talk,talk,Talk:Same-sex marriage in the United States,Shared Services Canada
20/11/2014,talk,talk,Talk:Same-sex marriage in the United States,Shared Services Canada
20/11/2014,talk,talk,Talk:Terephthalic acid,Environment Canada
20/11/2014,aboriginal,aboriginal people,Métis people (Canada),Shared Services Canada
20/11/2014,talk,talk,Talk:Same-sex marriage in the United States,Shared Services Canada
20/11/2014,media,television,Seconds From Disaster,Canadian Department of National Defence
21/11/2014,military,military unit,Grace Dieu (ship),Canadian House of Commons
21/11/2014,military,military unit,Grace Dieu (ship),Canadian House of Commons
21/11/2014,military,military unit,Grace Dieu (ship),Canadian House of Commons
21/11/2014,science,theory,Polemonium vanbruntiae,Environment Canada
21/11/2014,media,music,Paul Jeffrey,Shared Services Canada
21/11/2014,media,music,Paul Jeffrey,Shared Services Canada
21/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
21/11/2014,media,music,K-pop Star 3,Shared Services Canada
21/11/2014,media,film,Plan 9 from Outer Space,Canadian Department of National Defence
21/11/2014,media,film,Plan 9 from Outer Space,Canadian Department of National Defence
21/11/2014,media,film,Plan 9 from Outer Space,Canadian Department of National Defence
21/11/2014,media,film,Plan 9 from Outer Space,Canadian Department of National Defence
21/11/2014,military,soldier,Harry W. Brown,Canadian Department of National Defence
21/11/2014,military,soldier,Harry W. Brown,Canadian Department of National Defence
21/11/2014,military,military unit,Royal Winnipeg Rifles,Canadian Department of National Defence
21/11/2014,politics,organisation,Forum for International Trade Training,Shared Services Canada
22/11/2014,sports,hockey,2014–15 Edmonton Oilers season,Environment Canada
24/11/2014,sports,tennis,ATP World Tour records,Canadian Department of National Defence
24/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
24/11/2014,media,music,Richacha Balengola,Shared Services Canada
24/11/2014,media,games,List of strong chess tournaments,Canadian Department of National Defence
24/11/2014,science,science object,Cinnabar,Canadian Department of National Defence
24/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
24/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
24/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
24/11/2014,place,ontario canada,Ottawa,Natural Resources Canada
25/11/2014,art,political history,History of Crimea,Shared Services Canada
25/11/2014,place,new brunswick canada,Westmorland County New Brunswick,Shared Services Canada
25/11/2014,place,new brunswick canada,Westmorland County New Brunswick,Shared Services Canada
25/11/2014,media,music,Richacha Balengola,Shared Services Canada
25/11/2014,media,music,Richacha Balengola,Shared Services Canada
25/11/2014,place,quebec canada,Place du Portage,Shared Services Canada
25/11/2014,place,europe,Війна на сході України,Shared Services Canada
25/11/2014,education,university,University of Ottawa Faculty of Law,Shared Services Canada
25/11/2014,special,special,Special:Log/eparticle,Shared Services Canada
25/11/2014,military,military unit,Royal Canadian Air Cadets,Canadian Department of National Defence
25/11/2014,politics,politician,Alex Cullen,Canadian House of Commons
26/11/2014,politics,politics event,Comprehensive Economic and Trade Agreement,Shared Services Canada
26/11/2014,military,military unit,5th Canadian Division,Canadian Department of National Defence
26/11/2014,military,military unit,5th Canadian Division,Canadian Department of National Defence
26/11/2014,military,military unit,5th Canadian Division,Canadian Department of National Defence
26/11/2014,place,ontario canada,Cayuga Ontario,Canadian Department of National Defence
26/11/2014,place,quebec canada,Senneville Quebec,Canadian Broadcasting Corporation
27/11/2014,place,ontario canada,Fitzroy Harbour Ontario,Shared Services Canada
27/11/2014,sports,hockey,Abbotsford Centre,Shared Services Canada
27/11/2014,media,game,Assassin's Creed Rogue,Canadian Department of National Defence
28/11/2014,template,template,Template:Action Bronson,Shared Services Canada
28/11/2014,military,military unit,The Princess Louise Fusiliers,Canadian Department of National Defence
28/11/2014,media,music,Uriah Heep discography,Shared Services Canada
28/11/2014,product,clothing,Manteau neigeux,Environment Canada
28/11/2014,product,clothing,Manteau nival,Environment Canada
28/11/2014,product,clothing,Enneigement,Environment Canada
28/11/2014,product,clothing,Couverture de neige,Environment Canada
28/11/2014,media,music,Gracias Por La Música (album),Shared Services Canada
28/11/2014,media,music,Gracias Por La Música (album),Government of Canada
28/11/2014,technology,naval,Sailing ballast,Department of Fisheries and Oceans
28/11/2014,technology,naval,Sailing ballast,Shared Services Canada
28/11/2014,product,clothing,Manteau neigeux,Environment Canada
28/11/2014,company,media company,Sun News Network,Shared Services Canada
28/11/2014,product,clothing,Manteau neigeux,Environment Canada
28/11/2014,product,clothing,Manteau neigeux,Environment Canada
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,art,geographic history,History of Dartmouth Nova Scotia,Canadian Department of National Defence
29/11/2014,place,nova scotia canada,Dartmouth Nova Scotia,Canadian Department of National Defence
30/11/2014,sports,jet ski,Jet Ski,Environment Canada
30/11/2014,technology,naval,Skat (yacht),Environment Canada
30/11/2014,sports,athletics,Sport au Liban,Environment Canada
30/11/2014,sports,jet ski,Motomarine,Environment Canada
30/11/2014,sports,jet ski,Motomarine,Environment Canada
30/11/2014,science,science object,Q5175704,Environment Canada
01/12/2014,sports,jet ski,Motomarine,Environment Canada
01/12/2014,automobiles,motorcycle,Kawasaki Heavy Industries,Environment Canada
01/12/2014,category,category,Catégorie:Kawasaki Heavy Industries,Environment Canada
01/12/2014,sports,jet ski,Jet Ski,Environment Canada
01/12/2014,category,category,Catégorie:Kawasaki Heavy Industries,Environment Canada
01/12/2014,sports,jet ski,Jet Ski,Environment Canada
01/12/2014,category,category,Catégorie:Motocyclette Kawasaki,Environment Canada
01/12/2014,media,music,Elegantly Wasted (song),Shared Services Canada
01/12/2014,media,music,Elegantly Wasted (song),Finance Canada
01/12/2014,technology,naval,Forecastle,Canadian Department of National Defence
01/12/2014,technology,naval,Forecastle,Canadian Department of National Defence
01/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
01/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
02/12/2014,talk,talk,Talk:Iron Mountain Incorporated,Shared Services Canada
02/12/2014,science,scientist,Pierre-Simon Laplace,Canadian Department of National Defence
02/12/2014,people,canadian people,List of people from Dieppe New Brunswick,Industry Canada
02/12/2014,place,ontario canada,North Preston,Canadian Department of National Defence
02/12/2014,place,america,Grand Haven Michigan,Shared Services Canada
02/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
02/12/2014,place,ontario canada,Bytown and Prescott Railway,Natural Resources Canada
03/12/2014,military,military place,Land Force Central Area Training Ce,Canadian Department of National Defence
03/12/2014,military,military place,Land Force Central Area Training Ce,Canadian Department of National Defence
03/12/2014,military,military place,Land Force Central Area Training Ce,Canadian Department of National Defence
03/12/2014,sports,racing,2015 Pro Mazda Championship season,Natural Resources Canada
03/12/2014,sports,racing,2015 Pro Mazda Championship season,Natural Resources Canada
03/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
04/12/2014,science,theory,Homeopathic dilutions,Shared Services Canada
04/12/2014,science,science object,Dmanisi skull,Canadian Department of National Defence
04/12/2014,science,science object,Dmanisi skull,Canadian Department of National Defence
04/12/2014,sports,soccer,The Voyageurs,Canadian Department of National Defence
04/12/2014,police,police,Special Investigations Unit,Shared Services Canada
04/12/2014,education,education event,Academy of the Impossible,Canadian Broadcasting Corporation
05/12/2014,arts,architecture,Châteauesque,Canadian Department of National Defence
05/12/2014,company,company,Small and medium-sized enterprises,Industry Canada
07/12/2014,media,television,Wok with Yan,Shared Services Canada
07/12/2014,media,event,National Pearl Harbor Remembrance Day,Shared Services Canada
08/12/2014,sports,hockey,National Hockey League,Shared Services Canada
08/12/2014,media,musician,Kiesza,Canadian Department of National Defence
08/12/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
08/12/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
08/12/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
08/12/2014,media,author,Robin S. Sharma,Shared Services Canada
08/12/2014,media,author,Robin S. Sharma,Shared Services Canada
08/12/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
08/12/2014,education,university,Norman Paterson School of International Affairs,Shared Services Canada
08/12/2014,politics,politician,Jim Judd,Shared Services Canada
08/12/2014,politics,law,Human rights in Singapore,Shared Services Canada
08/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
08/12/2014,place,ontario canada,Ontario Highway 403,Environment Canada
08/12/2014,company,media company,Cube Entertainment,Shared Services Canada
08/12/2014,technology,computer,IBM Hardware Management Console,Shared Services Canada
08/12/2014,user,user,User talk:Meters,Natural Resources Canada
08/12/2014,user,user,User talk:Meters,Natural Resources Canada
09/12/2014,media,actor,Joel de la Fuente,Canadian Department of National Defence
09/12/2014,science,scientist,Afzal Upal,Canadian Department of National Defence
09/12/2014,science,scientist,Afzal Upal,Canadian Department of National Defence
09/12/2014,science,scientist,Afzal Upal,Canadian Department of National Defence
09/12/2014,science,scientist,Afzal Upal,Canadian Department of National Defence
09/12/2014,science,theory,The Minimal Counterintuitiveness Ef,Canadian Department of National Defence
09/12/2014,science,theory,The Minimal Counterintuitiveness Ef,Canadian Department of National Defence
09/12/2014,media,television,Richard Zussman,Canadian Broadcasting Corporation
09/12/2014,science,theory,Context-based model of minimal coun,Canadian Department of National Defence
09/12/2014,science,theory,Context-based model of minimal coun,Canadian Department of National Defence
09/12/2014,science,theory,Context-based model of minimal coun,Canadian Department of National Defence
09/12/2014,disambiguation,disambiguation,William Reid,Shared Services Canada
09/12/2014,disambiguation,disambiguation,William Reid,Shared Services Canada
10/12/2014,science,technology,NIST RBAC model,Shared Services Canada
10/12/2014,media,art,Feminist art movement,Canadian Museum of Civilization
10/12/2014,technology,law,ISO 8601,Shared Services Canada
10/12/2014,technology,law,ISO 8601,Shared Services Canada
10/12/2014,military,military unit,3rd Canadian Division,Canadian Department of National Defence
10/12/2014,politics,politician,Dominic LeBlanc,Canadian House of Commons
10/12/2014,military,military rank,Chief warrant officer,Canadian Department of National Defence
10/12/2014,military,military rank,Chief warrant officer,Canadian Department of National Defence
10/12/2014,military,military rank,Master warrant officer,Canadian Department of National Defence
10/12/2014,military,military rank,Master warrant officer,Canadian Department of National Defence
10/12/2014,military,military unit,The North Nova Scotia Highlanders,Canadian Department of National Defence
10/12/2014,military,military unit,The North Nova Scotia Highlanders,Canadian Department of National Defence
10/12/2014,science,theory,Algue,Department of Fisheries and Oceans
10/12/2014,science,theory,Algue,Shared Services Canada
11/12/2014,media,comedy,The Sketchersons,Canadian Broadcasting Corporation
11/12/2014,sports,racing,2015 Pro Mazda Championship season,Natural Resources Canada
11/12/2014,media,music,V.O.S (band),Department of Justice Canada
11/12/2014,politics,poltical event,Canadian Parliamentary Cats,Canadian House of Commons
11/12/2014,politics,political event,Canadian Parliamentary Cats,Canadian House of Commons
11/12/2014,religion,religious person,Wilgeforte,Shared Services Canada
11/12/2014,military,soldier,A. Lorne Campbell,Shared Services Canada
12/12/2014,politics,politician,Cetshwayo kaMpande,Shared Services Canada
12/12/2014,media,game,Exodus: Gods and Kings,Canadian Department of National Defence
12/12/2014,military,military event,United States Holocaust Memorial Mu,Canadian Department of National Defence
12/12/2014,military,military event,United States Holocaust Memorial Mu,Canadian Department of National Defence
13/12/2014,sports,hockey,Stanley Cup playoffs,Finance Canada
13/12/2014,sports,hockey,Stanley Cup playoffs,Shared Services Canada
13/12/2014,politics,politics event,Petroleum industry in Russia,Shared Services Canada
13/12/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
15/12/2014,science,theory,Hypercapnia,Canadian Department of National Defence
15/12/2014,talk,talk,Talk:Eye movement desensitization a,Canadian Department of National Defence
15/12/2014,aviation,helicopter,Avicopter AC313,Canadian Department of National Defence
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,science,space,Moon landing,Shared Services Canada
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,military,military equipment,Chengdu J-10,Canadian Department of National Defence
15/12/2014,media,game,Star Citizen,Shared Services Canada
15/12/2014,place,ontario canada,Ottawa,Natural Resources Canada
15/12/2014,politics,political party,Forces et Démocratie,Canadian House of Commons
15/12/2014,education,university,Guangzhou University,Shared Services Canada
15/12/2014,education,university,Guangzhou University,Shared Services Canada
15/12/2014,media,radio,Antenne radioélectrique,Environment Canada
15/12/2014,media,radio,Antenne radioélectrique,Environment Canada
15/12/2014,education,university,Moldova State University,Shared Services Canada
15/12/2014,education,university,Moldova State University,Shared Services Canada
15/12/2014,place,ontario canada,Ancaster Ontario,Natural Resources Canada
16/12/2014,religion,religious person,Sodom and Gomorrah,Library and Archives Canada
16/12/2014,category,category,Category:Iridescent clouds,Environment Canada
16/12/2014,place,quebec canada,Charlevoix Railway,Department of Fisheries and Oceans
16/12/2014,place,quebec canada,Charlevoix Railway,Shared Services Canada
16/12/2014,technology,internet,List of Web archiving initiatives,Library and Archives Canada
16/12/2014,technology,internet,List of Web archiving initiatives,Library and Archives Canada
16/12/2014,alcohol,beer,List of breweries in Quebec,Statistics Canada
